Designator,Mid X,Mid Y,Layer,Rotation
D1,58.500000,-72.850000,bottom,90.000000
D2,77.500000,-69.000000,bottom,90.000000
D3,96.500000,-69.000000,bottom,90.000000
D4,115.500000,-72.650000,bottom,90.000000
D5,153.500000,-72.650000,bottom,90.000000
D6,173.000000,-68.650000,bottom,90.000000
D7,192.000000,-68.650000,bottom,90.000000
D8,211.000000,-72.500000,bottom,90.000000
D9,230.000000,-72.500000,bottom,90.000000
D10,58.500000,-91.500000,bottom,90.000000
D11,77.500000,-88.000000,bottom,90.000000
D12,96.500000,-88.000000,bottom,90.000000
D13,115.500000,-91.500000,bottom,90.000000
D14,153.500000,-91.500000,bottom,90.000000
D15,173.000000,-87.500000,bottom,90.000000
D16,192.000000,-87.500000,bottom,90.000000
D17,211.000000,-91.500000,bottom,90.000000
D18,230.000000,-91.500000,bottom,90.000000
D19,106.000000,-116.500000,bottom,90.000000
D20,125.000000,-116.500000,bottom,90.000000
D21,144.500000,-116.500000,bottom,90.000000
D22,163.500000,-116.500000,bottom,90.000000
D23,131.850000,-78.500000,bottom,180.000000
J1,218.270000,-108.880000,bottom,90.000000
MX1,55.420000,-72.000000,top,0.000000
MX2,74.460000,-68.500000,top,0.000000
MX3,93.540000,-68.500000,top,0.000000
MX4,112.500000,-72.000000,top,0.000000
MX5,150.580000,-72.080000,top,0.000000
MX6,169.700000,-68.500000,top,0.000000
MX7,188.700000,-68.500000,top,0.000000
MX8,207.700000,-72.000000,top,0.000000
MX9,226.860000,-72.000000,top,0.000000
MX10,55.420000,-91.000000,top,0.000000
MX11,74.460000,-87.500000,top,0.000000
MX12,93.540000,-87.500000,top,0.000000
MX13,112.500000,-91.000000,top,0.000000
MX14,150.580000,-91.080000,top,0.000000
MX15,169.620000,-87.500000,top,0.000000
MX16,188.620000,-87.500000,top,0.000000
MX17,207.700000,-91.000000,top,0.000000
MX18,226.860000,-91.000000,top,0.000000
MX19,102.780000,-116.000000,top,0.000000
MX20,122.000000,-116.000000,top,0.000000
MX21,141.220000,-116.000000,top,0.000000
MX22,160.440000,-116.000000,top,0.000000
MX23,131.500000,-81.500000,top,90.000000
S1,131.500000,-81.500000,top,-90.000000
